IP,PORT,IPV4_CONNECT_MS,IPV4_EXIT_IP,IPV4_EXIT_COLO,IPV4_EXIT_ASN,IPV4_EXIT_ORG,IPV4_EXIT_CONTINENT,IPV4_EXIT_COUNTRY,IPV4_EXIT_REGION,IPV4_EXIT_CITY,IPV4_EXIT_LONGITUDE,IPV4_EXIT_LATITUDE,IPV6_CONNECT_MS,IPV6_EXIT_IP,IPV6_EXIT_COLO,IPV6_EXIT_ASN,IPV6_EXIT_ORG,IPV6_EXIT_CONTINENT,IPV6_EXIT_COUNTRY,IPV6_EXIT_REGION,IPV6_EXIT_CITY,IPV6_EXIT_LONGITUDE,IPV6_EXIT_LATITUDE
64.110.101.250,443,,,,,,,,,,,,45,2603:c023:6:c27e:0:aa5d:62e3:da82,KIX,31898,Oracle Corporation,AS,JP,Osaka,Osaka,135.50107,34.69379
167.179.67.91,443,,,,,,,,,,,,31,2401:c080:1000:2d73:5400:6ff:fe1a:1143,NRT,20473,"The Constant Company, LLC",AS,JP,Saitama,Ōi,139.7302,35.609
167.179.84.175,443,,,,,,,,,,,,33,2001:19f0:7001:2523:5400:6ff:fe20:233e,NRT,20473,"Vultr Holdings, LLC",AS,JP,Saitama,Ōi,139.7302,35.609
47.79.38.36,443,,,,,,,,,,,,33,240b:4009:25a:1801:ffff:4c32:443b:1cf5,NRT,45102,Alibaba Cloud (Singapore) Private Limited,AS,JP,Tokyo,Tokyo,139.69171,35.6895
160.251.209.140,443,,,,,,,,,,,,47,2400:8500:2002:3176:160:251:209:140,FUK,58791,"GMO Internet, Inc.",AS,JP,Fukuoka,Fukuoka,130.41667,33.6
151.242.165.76,443,,,,,,,,,,,,31,2a12:f8c1:50:2:eea8:bab7:46f3:1a74,NRT,51847,DODO K.K.,AS,JP,Tokyo,Tokyo,139.69171,35.6895
198.13.62.34,443,,,,,,,,,,,,32,2001:19f0:7001:943:5400:5ff:fed7:7d75,NRT,20473,"Vultr Holdings, LLC",AS,JP,Saitama,Ōi,139.7302,35.609
103.29.68.144,443,,,,,,,,,,,,35,2400:8902::2000:66ff:fe81:c2a3,NRT,63949,Akamai Connected Cloud / Linode,AS,JP,Tokyo,Tokyo,139.69171,35.6895
166.88.14.85,443,,,,,,,,,,,,42,2400:8d60:8::15aa:5658,KIX,149440,Evoxt.com,AS,JP,Osaka,Osaka,135.4953,34.697
104.238.151.159,443,,,,,,,,,,,,37,2401:c080:1000:243b:5400:6ff:fe14:71c0,NRT,20473,"The Constant Company, LLC",AS,JP,Saitama,Ōi,139.7302,35.609
50.114.113.51,443,,,,,,,,,,,,42,2400:8d60:8::2fc4:7696,KIX,149440,Evoxt.com,AS,JP,Osaka,Osaka,135.4953,34.697
172.235.199.158,443,43,172.235.199.158,KIX,63949,Linode,AS,JP,Osaka,Osaka,135.50107,34.69379,,,,,,,,,,,
45.8.115.32,443,,,,,,,,,,,,64,2a10:480:1::1052,KIX,4785,xTom GmbH,AS,JP,Osaka,Osaka,135.50107,34.69379
172.238.14.76,443,,,,,,,,,,,,40,2600:3c18::2000:2eff:feec:9b9d,NRT,63949,Linode,AS,JP,Tokyo,Tokyo,139.69171,35.6895
45.192.248.30,443,,,,,,,,,,,,32,2602:fa4f:a30:5292:922b:86d5:57c0:9433,NRT,61112,AkileCloud LLC,AS,JP,Tokyo,Tokyo,139.69171,35.6895
103.117.103.70,443,,,,,,,,,,,,33,2403:18c0:1001:16c:10bd:d2ff:fe44:ac76,NRT,906,DMIT Inc.,AS,JP,Tokyo,Tokyo,139.69171,35.6895
202.144.192.37,443,,,,,,,,,,,,33,2402:c480:3000:1514:1c00:50ff:fe00:59b,NRT,63916,Techavenue International Ltd,AS,JP,Tokyo,Tokyo,139.69171,35.6895
125.192.207.63,443,,,,,,,,,,,,71,2404:7a81:c080:5f00:9683:c4ff:feb6:a99b,NRT,2518,BIGLOBE Inc.,AS,JP,Ibaraki,Mito,140.45,36.35
142.91.108.54,443,,,,,,,,,,,,33,2401:d560:0:107:1c00:36ff:fe00:40e,NRT,134351,Leaseweb Japan K.K.,AS,JP,Tokyo,Tokyo,139.69171,35.6895
