IP,PORT,IPV4_CONNECT_MS,IPV4_EXIT_IP,IPV4_EXIT_COLO,IPV4_EXIT_ASN,IPV4_EXIT_ORG,IPV4_EXIT_CONTINENT,IPV4_EXIT_COUNTRY,IPV4_EXIT_REGION,IPV4_EXIT_CITY,IPV4_EXIT_LONGITUDE,IPV4_EXIT_LATITUDE,IPV6_CONNECT_MS,IPV6_EXIT_IP,IPV6_EXIT_COLO,IPV6_EXIT_ASN,IPV6_EXIT_ORG,IPV6_EXIT_CONTINENT,IPV6_EXIT_COUNTRY,IPV6_EXIT_REGION,IPV6_EXIT_CITY,IPV6_EXIT_LONGITUDE,IPV6_EXIT_LATITUDE
188.253.6.249,443,,,,,,,,,,,,58,2407:cdc0:f006:ad80:c8e0:2304:8f61:b2a3,TPE,38136,Akari Networks (Taipei),AS,TW,Taiwan,Taipei,121.52639,25.05306
223.165.4.57,443,,,,,,,,,,,,63,2a11:840:47:1b::55aa:4849,HKG,136258,"BrainStorm Network, Inc",AS,TW,Taipei,Banqiao,121.46719,25.01427
45.121.48.2,443,62,45.121.48.2,HKG,31972,Xiang Ao Communications Co. Ltd.,AS,TW,Taipei,Banqiao,121.46719,25.01427,,,,,,,,,,,
167.253.153.147,443,,,,,,,,,,,,167,2602:f8c0:3:1001:be24:11ff:fe9d:e68c,TPE,46829,Lamhosting LLC,AS,TW,Taiwan,Taipei,121.52639,25.05306
83.147.13.154,443,59,83.147.13.154,TPE,61112,Private Customer,AS,TW,Taiwan,Taipei,121.52639,25.05306,,,,,,,,,,,
114.33.57.170,443,,,,,,,,,,,,71,2001:b011:e607:1803::5e0,TPE,3462,HiNet Taiwan,AS,TW,Takao,Kaohsiung,120.31333,22.61626
